"","word","freq","prob"
"up the good work","up the good work",15,0.000129435316857656
"will be on the","will be on the",15,0.000129435316857656
"wish i could be","wish i could be",15,0.000129435316857656
"would be a good","would be a good",15,0.000129435316857656
"you have to be","you have to be",15,0.000129435316857656
"you just have to","you just have to",15,0.000129435316857656
"a couple of days","a couple of days",14,0.000120806295733812
"a lot of work","a lot of work",14,0.000120806295733812
"across the street from","across the street from",14,0.000120806295733812
"all of a sudden","all of a sudden",14,0.000120806295733812
"all over the place","all over the place",14,0.000120806295733812
"am looking forward to","am looking forward to",14,0.000120806295733812
"are a lot of","are a lot of",14,0.000120806295733812
"as long as i","as long as i",14,0.000120806295733812
"at a time when","at a time when",14,0.000120806295733812
"at the bottom of","at the bottom of",14,0.000120806295733812
"but in the end","but in the end",14,0.000120806295733812
"did not want to","did not want to",14,0.000120806295733812
"do you have any","do you have any",14,0.000120806295733812
"for more than a","for more than a",14,0.000120806295733812
"for those of you","for those of you",14,0.000120806295733812
"had a chance to","had a chance to",14,0.000120806295733812
"i didnt have a","i didnt have a",14,0.000120806295733812
"i dont even know","i dont even know",14,0.000120806295733812
"i dont have any","i dont have any",14,0.000120806295733812
"i miss you too","i miss you too",14,0.000120806295733812
"i need to go","i need to go",14,0.000120806295733812
"i thought i would","i thought i would",14,0.000120806295733812
"i want you to","i want you to",14,0.000120806295733812
"i was in the","i was in the",14,0.000120806295733812
"i went to the","i went to the",14,0.000120806295733812
"i would have to","i would have to",14,0.000120806295733812
"if there is a","if there is a",14,0.000120806295733812
"if you dont know","if you dont know",14,0.000120806295733812
"im not sure if","im not sure if",14,0.000120806295733812
"in a few weeks","in a few weeks",14,0.000120806295733812
"in an attempt to","in an attempt to",14,0.000120806295733812
"in the first round","in the first round",14,0.000120806295733812
"in the last few","in the last few",14,0.000120806295733812
"in the name of","in the name of",14,0.000120806295733812
"in the process of","in the process of",14,0.000120806295733812
"in the way of","in the way of",14,0.000120806295733812
"it is important to","it is important to",14,0.000120806295733812
"its been a while","its been a while",14,0.000120806295733812
"know what you think","know what you think",14,0.000120806295733812
"let me know when","let me know when",14,0.000120806295733812
"one of the biggest","one of the biggest",14,0.000120806295733812
"other side of the","other side of the",14,0.000120806295733812
"please let me know","please let me know",14,0.000120806295733812
"said in an interview","said in an interview",14,0.000120806295733812
"seems to be a","seems to be a",14,0.000120806295733812
"take a look at","take a look at",14,0.000120806295733812
"th anniversary of the","th anniversary of the",14,0.000120806295733812
"thank you for being","thank you for being",14,0.000120806295733812
"that this is a","that this is a",14,0.000120806295733812
"the last time i","the last time i",14,0.000120806295733812
"there are a lot","there are a lot",14,0.000120806295733812
"there is a lot","there is a lot",14,0.000120806295733812
"there is so much","there is so much",14,0.000120806295733812
"this is what i","this is what i",14,0.000120806295733812
"to be a great","to be a great",14,0.000120806295733812
"to see you at","to see you at",14,0.000120806295733812
"to see you in","to see you in",14,0.000120806295733812
"to the top of","to the top of",14,0.000120806295733812
"we look forward to","we look forward to",14,0.000120806295733812
"what is going on","what is going on",14,0.000120806295733812
"you can do it","you can do it",14,0.000120806295733812
"you might want to","you might want to",14,0.000120806295733812
"a matter of time","a matter of time",13,0.000112177274609968
"and one of the","and one of the",13,0.000112177274609968
"and thanks for the","and thanks for the",13,0.000112177274609968
"and you have to","and you have to",13,0.000112177274609968
"as soon as possible","as soon as possible",13,0.000112177274609968
"both sides of the","both sides of the",13,0.000112177274609968
"come up with a","come up with a",13,0.000112177274609968
"day to all the","day to all the",13,0.000112177274609968
"happy birthday to my","happy birthday to my",13,0.000112177274609968
"has a lot of","has a lot of",13,0.000112177274609968
"he and his wife","he and his wife",13,0.000112177274609968
"he said he was","he said he was",13,0.000112177274609968
"how much i love","how much i love",13,0.000112177274609968
"i cant help but","i cant help but",13,0.000112177274609968
"i cant wait for","i cant wait for",13,0.000112177274609968
"i dont care if","i dont care if",13,0.000112177274609968
"i felt like i","i felt like i",13,0.000112177274609968
"i just had to","i just had to",13,0.000112177274609968
"i thought it would","i thought it would",13,0.000112177274609968
"i used to be","i used to be",13,0.000112177274609968
"i want to see","i want to see",13,0.000112177274609968
"i wanted to make","i wanted to make",13,0.000112177274609968
"i was in a","i was in a",13,0.000112177274609968
"id love to see","id love to see",13,0.000112177274609968
"if you are in","if you are in",13,0.000112177274609968
"im so proud of","im so proud of",13,0.000112177274609968
"in new york city","in new york city",13,0.000112177274609968
"in the back of","in the back of",13,0.000112177274609968
"in the right direction","in the right direction",13,0.000112177274609968
"is a lot of","is a lot of",13,0.000112177274609968
"is going to have","is going to have",13,0.000112177274609968
"is not going to","is not going to",13,0.000112177274609968
"it is going to","it is going to",13,0.000112177274609968
"it was in the","it was in the",13,0.000112177274609968
"it was one of","it was one of",13,0.000112177274609968
"it was the first","it was the first",13,0.000112177274609968
"it was time to","it was time to",13,0.000112177274609968
"need to do is","need to do is",13,0.000112177274609968
"not being able to","not being able to",13,0.000112177274609968
"of the things that","of the things that",13,0.000112177274609968
"on one of the","on one of the",13,0.000112177274609968
"over and over again","over and over again",13,0.000112177274609968
"over the past few","over the past few",13,0.000112177274609968
"side of the road","side of the road",13,0.000112177274609968
"thank you for all","thank you for all",13,0.000112177274609968
"thanks for the rts","thanks for the rts",13,0.000112177274609968
"that one of the","that one of the",13,0.000112177274609968
"the best part of","the best part of",13,0.000112177274609968
"the first time since","the first time since",13,0.000112177274609968
"the front of the","the front of the",13,0.000112177274609968
"the heart of the","the heart of the",13,0.000112177274609968
"the size of a","the size of a",13,0.000112177274609968
"the time of the","the time of the",13,0.000112177274609968
"there is no way","there is no way",13,0.000112177274609968
"those of you who","those of you who",13,0.000112177274609968
"to be on the","to be on the",13,0.000112177274609968
"to be the best","to be the best",13,0.000112177274609968
"to be the most","to be the most",13,0.000112177274609968
"to get to the","to get to the",13,0.000112177274609968
"to go to school","to go to school",13,0.000112177274609968
"to make up for","to make up for",13,0.000112177274609968
"to say the least","to say the least",13,0.000112177274609968
"to see what you","to see what you",13,0.000112177274609968
"to see you there","to see you there",13,0.000112177274609968
"used to be a","used to be a",13,0.000112177274609968
"wait to see what","wait to see what",13,0.000112177274609968
"we had a great","we had a great",13,0.000112177274609968
"we would like to","we would like to",13,0.000112177274609968
"will be at the","will be at the",13,0.000112177274609968
"would have been a","would have been a",13,0.000112177274609968
"a copy of the","a copy of the",12,0.000103548253486125
"a fan of the","a fan of the",12,0.000103548253486125
"a few of the","a few of the",12,0.000103548253486125
"a great way to","a great way to",12,0.000103548253486125
"a spokesman for the","a spokesman for the",12,0.000103548253486125
"a wide range of","a wide range of",12,0.000103548253486125
"and cant wait to","and cant wait to",12,0.000103548253486125
"and i have to","and i have to",12,0.000103548253486125
"and some of the","and some of the",12,0.000103548253486125
"and the rest of","and the rest of",12,0.000103548253486125
"are more likely to","are more likely to",12,0.000103548253486125
"are not going to","are not going to",12,0.000103548253486125
"are some of the","are some of the",12,0.000103548253486125
"as if it were","as if it were",12,0.000103548253486125
"at the very least","at the very least",12,0.000103548253486125
